nomem_encr;nohouse_encr;wave;geslacht;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
897991;501080;202201;2;5;1993;28;3;58;3;1;1;5;3;1;3;1;2500;2500;1800;1800;1800;5;4;12500;9200;6;3;3;1;6;0;0
898002;520394;202201;1;3;1990;31;3;32;4;2;1;5;3;1;3;1;-13;3391,22694966811;2250;-13;2250;13;5;4678,4704855367;3200;6;6;6;1;7;0;0
898003;504571;202201;1;1;1973;48;5;48;2;1;0;3;4;1;1;1;-13;5782,02352430825;3500;3500;3500;13;7;5782,02352430825;3500;5;5;5;1;9;0;0
898004;523159;202201;2;1;1958;63;6;63;1;0;0;5;1;2;4;1;-13;2408,94552728401;1650;1650;1650;13;4;2408,94552728401;1650;5;5;5;1;2;0;0
898016;562274;202201;2;2;1964;57;6;68;5;3;1;1;3;1;4;10;-13; ;-13;-13; ;13;13; ; ;5;5;5;0;7; ;0
898022;517788;202201;2;1;1948;73;7;73;1;0;0;4;1;1;2;9;2500;2500;2200;2200;2200;5;5;2500;2200;2;2;2;1;8;0;0
898025;594680;202201;1;1;1948;73;7;73;2;0;1;1;2;1;3;9;2750;2750;2460;2460;2460;6;5;4100;3680;5;5;5;1;1;0;0
898028;513549;202201;2;1;1966;55;6;55;2;1;0;5;4;2;3;1;-13;2577,4142108627;1750;-13;1750;13;4;5113,77741647753;3500;4;4;4;1;2;0;1
898034;537713;202201;1;1;1939;82;7;82;2;0;1;1;2;1;5;9;2270;2270;1420;1420;1420;5;3;3080;2154;2;2;2;1;2;0;0
898035;546928;202201;1;1;1985;36;4;36;4;2;1;1;3;1;2;4;3600;3600;2600;2600;2600;8;6;5800;4100;6;6;6;1;8;0;0
898051;519122;202201;2;5;1997;24;2;58;3;1;1;5;3;1;4;13;-13; ;-13;-13; ;13;13; ; ;5;5;5;1;9;0;0
898061;551512;202201;1;1;1976;45;5;45;4;2;1;1;3;1;4;1;5600;5600;3150;3150;3150;11;7;9073,98408016033;5650;5;5;5;1;9;0;0
898071;547897;202201;2;1;1961;60;6;60;1;0;0;4;1;2;3;10;-13;1710,28345322911;1250;-13;1250;13;3;1710,28345322911;1250;2;2;2;1;8;201;0
898076;555538;202201;1;2;1995;26;3;32;2;0;1;1;2;1;3;1;-13;3391,22694966811;2250;-13;2250;13;5;7291,22694966811;4900;4;4;4;0;8; ;0
898083;578634;202201;2;2;1962;59;6;65;2;0;1;1;2;1;4;8;850;850;450;450;450;2;1;6100;3450;2;2;2;0;1;0;0
898101;554653;202201;1;1;1928;93;7;93;2;0;0;4;5;1;4;9;3267;3267;2500;2500;2500;7;5;3267;2500;5;5;5;1;2;0;0
898130;566207;202201;1;5;2019;2;1;38;5;3;1;5;3;1;4;14;0;0;0;0;0;0;0;8329;5578;9;9; ;1;99; ;0
898131;564713;202201;2;3;1977;45;5;44;4;2;1;5;3;1;1;3;2000;2000;1500;1500;1500;4;3;9500;6600;5;5;5;0;9; ;0
898141;525375;202201;2;1;1997;24;2;24;1;0;0;5;1;2;1;1;3900;3900;2750;2750;2750;8;6;3900;2750;6;6;6;1;8;0;0
898178;575598;202201;2;5;2000;21;2;58;2;1;0;5;4;2;3;7;0;0;0;0;0;0;0;2159,81574494805;1500;2;2;2;0;2; ;0
898187;504837;202201;2;2;1961;60;6;62;3;1;1;1;3;1;4;1;-13;2536,36320561483;1750;-13;1750;13;4;5466,63938793475;3750;5;5;5;1;8;0;0
898190;582034;202201;1;1;1938;83;7;83;2;0;1;1;2;1;3;9;3875;3875;3100;3100;3100;8;7;4775;3890;3;3;3;1;2;0;0
898199;548860;202201;1;1;1994;28;3;28;2;0;1;1;2;1;2;1;2940;2940;2540;2540;2540;6;6;5280;4480;4;4;4;1;99; ;0
898211;592922;202201;1;1;1979;42;4;42;2;0;1;1;2;1;5;3;-13;9655,42913387197;5500;5500;5500;13;11;10910,201359762;6442;4;4;4;1;2;0;0
898237;561448;202201;1;1;1963;58;6;58;6;4;1;5;3;1;2;1;4800;4800;3500;3500;3500;10;7;10220,2303055098;7400;5;5;5;1;9;201;0
898242;502117;202201;1;2;1952;69;7;66;2;0;1;1;2;2;4;9;-13;837,94627049917;750;-13;750;13;2;2335,33945628452;2000;1;1;1;1;2;0;0
898254;571563;202201;1;1;1945;76;7;76;2;0;1;1;2;1;2;9;2500;2500;2000;2000;2000;5;4;4900;3950;5;5;5;1;2;0;0
898283;541393;202201;1;3;1981;41;4;38;4;2;1;5;3;1;4;10;-13;0;0;0;0;13;0;2577,4142108627;1750;5;5;5;1;9;0;0
898297;590823;202201;1;1;1960;61;6;61;2;0;1;1;2;1;5;1;5800;5800;3700;3700;3700;11;8;5800;3700;5;5;5;1;2;0;0
898299;598819;202201;2;1;1982;39;4;39;5;3;1;1;3;1;3;1;2900;2900;2300;2300;2300;6;5;5500;4150;5;5;5;0;9;0;0
898320;512613;202201;2;2;1952;69;7;71;2;0;1;1;2;1;3;9;-13;1473,54389711893;1250;-13;1250;13;3;4382,18865257032;3500;4;4;4;1;9;0;0
898327;522421;202201;2;3;1980;41;4;40;5;3;1;5;3;1;3;8;-13;1059,94854695398;829;829;829;13;2;4774,63632503577;3229;4;4;4;1;8;0;0
898336;543518;202201;2;1;1984;38;4;38;5;0;1;1;2;2;4;8;0;0;0;0;0;0;0; ; ;5;4;4;1;2;102;0
898339;525231;202201;1;1;1957;64;6;64;1;0;0;5;1;2;2;6;-13;1365,03710962866;1024;1024;1024;13;3;1365,03710962866;1024;3;7;1;1;2;0;0
898367;503781;202201;1;2;1950;71;7;71;2;0;1;1;2;1;5;9;1100;1100;900;900;900;3;2;1935;1610;6;6;6;1;2;0;0
898400;525363;202201;1;1;1954;68;7;68;1;0;0;3;1;1;2;9;2580;2580;2193;2193;2193;6;5;2580;2193;2;2;2;1;2;0;0
898416;561129;202201;2;1;1951;70;7;70;1;0;0;1;1;1;5;9;-13;928,909440163717;812;812;812;13;2;928,909440163717;812;2;2;2;1;2;0;0
898428;545080;202201;2;3;1983;38;4;39;4;2;1;5;3;1;4;1;3085;3085;2040;2040;2040;7;5;6570;4558;5;5;5;0;6; ;0
898433;527922;202201;2;3;1994;27;3;30;2;0;1;5;2;2;1;1;-13;4285,12265481229;2750;-13;2750;13;6;9885,12265481229;6350;6;6;6;0;99;0;0
898445;549398;202201;1;5;2013;9;1;40;4;2;1;5;3;1;4;7;0;0;0;0;0;0;0;4500;3600;1;8;1;1;8; ;0
898449;524584;202201;1;1;1975;46;5;46;2;0;1;1;2;1;4;1;2950;2950;2300;2300;2300;6;5;2950;2300;4;4;4;1;8;0;0
898464;592288;202201;1;5;2003;19;2;52;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;9460;5704;3;3;3;0;6; ;0
898468;503701;202201;1;1;1969;52;5;52;3;1;1;1;3;1;5;1;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;7;0;0
898471;527938;202201;2;2;1937;84;7;82;2;0;1;1;2;2;2;8;688;688;639;639;639;2;2;2338;2040;2;2;2;1;2; ;0
898474;502609;202201;1;5;2004;17;2;53;4;2;1;5;3;1;3;7;-13;0;0;0;0;13;0;4745,95200254944;3350;3;1;1;1;8;0;0
898477;512991;202201;2;5;2004;17;2;49;3;1;1;5;3;1;3;7;0;0;0;0;0;0;0;3883,00959938078;3369;2;1;1;0;1; ;0
898489;579901;202201;2;3;1966;55;6;54;2;0;1;3;2;1;2;1;6165;6165;3900;3900;3900;11;8;6165;3900;5;5;5;1;7;0;0
898498;538906;202201;1;1;1957;64;6;64;2;0;1;1;2;1;2;9;-13;2512,09624408387;1750;-13;1750;13;4;2512,09624408387;1750;2;2;2;1;7;0;0
898501;547811;202201;1;1;1943;78;7;78;2;0;1;1;2;4;4;9;2000;2000;1750;-13;1750;4;4;2900;2500;2;2;2;1;2;0;0
898516;527224;202201;1;1;1956;65;7;65;2;0;1;1;2;1;1;1;-13;2984,27353040594;2250;-13;2250;13;5;4563,88961819971;3432;4;4;4;1;2;0;0
898519;543807;202201;2;2;1953;68;7;70;2;0;1;1;2;1;3;9;-13;732,494898906671;663;663;663;13;2;5172,12771111356;3912;4;4;4;1;1;0;0
898523;531270;202201;2;1;1990;31;3;31;2;0;1;1;2;2;2;1;3700;3700;2700;2700;2700;8;6;5900;4500;6;6;6;1;9;0;0
898529;542453;202201;1;1;1987;34;3;34;2;0;1;1;2;1;4;1;-13;3006,46740420496;2000;2000;2000;13;4;4613,36350561564;3200;5;5;5;1;8;0;0
898532;508822;202201;2;1;1950;71;7;71;1;0;0;4;1;2;2;9;-13;2003,11768633986;1620;1620;1620;13;4;2003,11768633986;1620;2;2;2;1;8;0;0
898544;573220;202201;1;1;1980;41;4;41;4;2;1;1;3;2;4;1;2347;2347;1917;1917;1917;5;4;4500;3729;5;3;3;1;2;0;0
898547;505444;202201;1;1;1961;60;6;60;5;3;1;1;3;1;4;1;-13;3006,46740420496;2000;2000;2000;13;4;10655,0159497544;7350;4;4;4;0;2;0;0
898554;579412;202201;1;1;1974;47;5;47;1;0;0;3;1;1;4;1;6500;6500;4500;4500;4500;11;9;6500;4500;4;4;4;1;9;0;0
898565;597940;202201;1;1;1957;64;6;64;1;0;0;3;1;2;1;9;-13;2512,09624408387;1750;-13;1750;13;4;2512,09624408387;1750;7;8;1;1;3;102;0
898596;547747;202201;1;1;1989;32;3;32;3;1;1;5;3;1;4;1;3960;3960;2830;2830;2830;8;6;6560;4830;5;5;5;1;99;0;0
898618;593934;202201;2;1;1989;32;3;32;1;0;0;5;1;2;2;4;1179;1179;1041;1041;1041;3;3;1179;1041;6;2;2;1;9;102;0
898631;542972;202201;2;1;1984;37;4;37;5;3;0;5;4;1;1;1;3617;3617;2950;2950;2950;8;6;6934;5517;4;4;4;1;9;0;0
898635;503213;202201;2;5;1987;34;3;67;3;1;1;5;3;1;3;1;-13;5213,69084646079;3250;-13;3250;13;7;12341,6908464608;7959;6;6;6;0;1;0;0
898651;556677;202201;1;1;1958;63;6;63;2;0;1;1;2;1;5;1;4129;4129;2856;2856;2856;9;6;4129;2856;4;4;4;1;2;0;0
898672;574661;202201;2;1;1990;31;3;31;2;0;0;1;5;1;1;1;0;0;0;0;0;0;0;948,009599380784;750;6;6;6;1;2;202;0
898675;515597;202201;1;5;1997;24;2;55;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;10711,4667645043;6575;6;3;3;1;2; ;0
898681;574249;202201;1;5;2013;8;1;42;4;2;1;5;3;1;4;7;-13;0;0;0;0;13;0;5172,91878092367;3500;9;9; ;1;2; ;0
898706;545904;202201;2;2;1946;75;7;78;2;0;1;1;2;1;4;8;880;880;830;830;830;2;2;7380;5230;4;4;4;1;1;0;0
898715;500253;202201;1;1;1952;69;7;69;1;0;0;5;1;1;1;9;4050;4050;2900;2900;2900;9;6;4050;2900;6;5;5;1;1;0;0
898721;595007;202201;1;1;1973;48;5;48;2;0;1;1;2;1; ;1;-13;4261,99302140902;2700;2700;2700;13;6;4261,99302140902;2700;5;5;5;1;3;202;0
898730;547052;202201;1;2;1968;53;5;51;2;0;1;1;2;1;1;1;-13;4013,14138376562;2600;2600;2600;13;6;7194,23869161979;4700;6;6;6;1;7;0;0
898733;555902;202201;2;5;2002;19;2;53;4;2;1;5;3;1;5;7;0;0;0;0;0;0;0;7225,41591619464;4900;4;4;4;0;6;0;0
898736;594091;202201;1;5;2007;14;1;35;6;4;1;5;3;2;5;7;-13;0;0;0;0;13;0;2536,36320561483;1750;1;8;1;1;7; ;0
898742;561007;202201;1;1;1960;61;6;61;2;0;1;1;2;1;5;10;0;0;-14;-13;0;0;14;0;0;5;5;5;1;1;0;0
898773;560696;202201;2;1;1971;50;5;50;1;0;0;5;1;1;1;13;0;0;0;0;0;0;0;0;0;6;6;6;1;3;102;0
898776;573870;202201;2;5;2005;16;2;50;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;11025;6000;3;8;1;0;8; ;0
898782;552243;202201;1;1;1963;58;6;58;3;1;1;1;3;1;5;1;6425;6425;3823;3823;3823;11;8;12473;8302;4;4;4;1;2;0;0
898793;543682;202201;1;5;2011;10;1;40;4;2;1;5;3;1;4;7;0;0;0;0;0;0;0;10350;6661;1;8;1;1;2; ;0
898797;599569;202201;2;1;1993;28;3;28;1;0;0;5;1;2;3;1;3200;3200;2250;-13;2250;7;5;3200;2250;6;6;6;1;99;0;0
898812;540048;202201;2;2;1944;77;7;67;2;0;1;1;2;2;2;9;-13;1473,54389711893;1250;-13;1250;13;3;5135,15689714609;4000;4;4;4;1;2;0;0
898834;575271;202201;2;3;1987;34;3;39;3;1;1;5;3;1;4;8;-13;1637,29021469654;1220;1220;1220;13;3;5991,76752352725;3970;6;3;3;1;8;0;0
898836;540900;202201;1;5;2006;15;2;43;5;3;1;5;3;1;5;7;-13;0;0;0;0;13;0;5252;3397;3;8;1;1;9; ;0
898856;546746;202201;2;3;1974;47;5;55;4;2;1;3;3;1;3;7;1750;1750;1343;1343;1343;4;3;9815;5293;6;6;6;1;9;0;0
898857;537827;202201;2;1;1940;81;7;81;1;0;0;3;1;1;2;9;1700;1700;1500;1500;1500;4;3;1700;1500;3;7;1;1;9;0;0
898858;516049;202201;2;5;2007;14;1;47;5;3;1;5;3;1;5;7;30;30;30;30;30;1;1;9030;6310;3;1;1;1;2; ;0
898867;579992;202201;2;5;2002;19;2;55;2;1;0;5;4;1;4;1;0;0;0;0;0;0;0;4822,098295147;3000;3;3;3;1;2;0;0
