nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
808807;548626;202211;2;999;5;2005;17;2;59;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;5025;4250;4;2;2;0;8; ;0
808810;548083;202211;2;999;5;2011;11;1;45;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;6493,83284483839;4300;1;8;1;1;7; ;0
808822;539590;202211;2;999;5;2004;18;2;63;4;2;1;5;3;1;2;7;100;100;75;75;75;1;1;14150;9115;6;3;3;1;8;0;0
808825;583059;202211;2;999;2;1949;73;7;75;5;3;1;1;3;1;1;9;-13;837,94627049917;750;-13;750;13;2; ; ;2;2;2;0;7;0;0
808831;566671;202211;2;999;5;2012;10;1;39;6;4;1;5;3;1;4;7;0;0;0;0;0;0;0; ; ;1;8;1;1;3; ;0
808837;544857;202211;1;999;1;1996;25;3;25;2;0;0;5;5;2;2;1;3300;3300;2567;2567;2567;7;6; ; ;6;6;6;1;99;0;0
808843;590234;202211;1;999;2;1951;70;7;60;2;0;1;1;2;2;1;9;1500;1500;1100;1100;1100;3;3;4900;2800;6;6;6;1;2;102;0
808846;575319;202211;2;2;2;1978;44;4;44;4;2;1;1;3;1;2;1;1750;1750;1600;1600;1600;4;4;5107,37289363118;3800;2;2;2;1;10;0;0
808853;593041;202211;1;999;1;1962;60;6;60;2;0;1;5;2;1;4;3;0;0;250;-13;250;0;1;700;1000;5;5;5;0;2; ;0
808859;503701;202211;1;999;5;2004;17;2;53;3;1;1;5;3;1;5;7;-13;0;0;0;0;13;0; ; ;1;8;1;1;7;0;0
808860;573893;202211;2;999;5;2020;2;1;38;4;2;1;5;3;1;2;14;0;0;0;0;0;0;0;6536,36320561483;4550;9;9; ;1;10; ;0
808871;565368;202211;2;999;5;2005;17;2;49;4;2;1;5;3;1;3;7;-13;191,09933390766;170;170;170;13;1;6306,46253952249;4611;2;2;2;1;8;0;0
808886;527667;202211;2;999;5;1995;27;3;64;3;1;1;5;3;1;1;1;3000;3000;2000;2000;2000;6;4;8600;6300;5;5;5;1;1;0;0
808893;587438;202211;2;999;5;2013;9;1;43;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;9202;6573;1;8;1;1;9; ;0
808896;502382;202211;2;999;5;2013;9;1;41;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;6081,28217634253;4000;1;8;1;1;10; ;0
808898;582510;202211;1;999;5;2016;6;1;40;5;3;1;5;3;1;2;7;0;0;0;0;0;0;0;9070;5530;9;9; ;1;8; ;0
808914;532550;202211;1;999;5;2016;6;1;42;4;2;1;5;3;1;4;7;0;0;0;0;0;0;0;4150;3000;1;8;1;1;8; ;0
